AIC,Params,Seasonal_Params,Model
1556.6418938555285,"(4, 2, 0)","(0, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050997760>
1556.7474230388757,"(4, 2, 0)","(1, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fe97fd640>
1556.756966750948,"(4, 2, 0)","(2, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd6c3b6d0>
1556.7569735362756,"(4, 2, 0)","(3, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fac8c8af0>
1557.0015115060887,"(4, 2, 0)","(0, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90708d73d0>
1558.3523078349278,"(2, 2, 0)","(1, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90407be4f0>
1558.4930549026178,"(1, 2, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091297f70>
1558.4930549026178,"(1, 2, 2)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90837ff310>
1558.6837471193448,"(4, 2, 0)","(4, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f2e959220>
1558.6855605629878,"(4, 2, 0)","(1, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff312f4c0>
1558.7551122354307,"(4, 2, 0)","(3, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f22ac5ca0>
1558.7571687871548,"(4, 2, 0)","(0, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9030f2da60>
1558.766555132434,"(4, 2, 0)","(2, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa4d1f130>
1559.0149376682616,"(4, 2, 0)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911c5f10>
1559.0927689541465,"(3, 2, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90913c4c40>
1559.0927689541465,"(3, 2, 2)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90913c4cd0>
1559.5343589404583,"(0, 1, 0)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091848e50>
1559.5358511774537,"(3, 2, 0)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911c56d0>
1559.623228675689,"(2, 2, 0)","(2, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90839143d0>
1559.6451142475094,"(2, 2, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90508299d0>
1559.7184990961562,"(2, 2, 0)","(1, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9055b42820>
1560.682089344957,"(4, 2, 0)","(4, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9055b2fc70>
1560.6850768037907,"(4, 2, 0)","(2, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fdd9de0a0>
1560.6854555576704,"(4, 2, 0)","(1, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff2518ac0>
1560.6951919121045,"(4, 2, 0)","(3, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f3839bdf0>
1561.1903505883902,"(2, 2, 0)","(0, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838f0280>
1561.5395028306777,"(2, 2, 0)","(1, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fe97fde80>
1561.593629543385,"(2, 2, 0)","(3, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9055b35400>
1561.6080993229245,"(2, 2, 0)","(2, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd68602e0>
1561.6596293737,"(2, 2, 0)","(0, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90407a56d0>
1562.683243319944,"(4, 2, 0)","(4, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f67fd60a0>
1562.6839441905604,"(4, 2, 0)","(3, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f3ab806a0>
1562.6856188169218,"(4, 2, 0)","(2, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb4da65b0>
1563.441295394889,"(2, 2, 0)","(4, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f37fdd970>
1563.4584057758482,"(2, 2, 0)","(1, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fe9b6d430>
1563.463397993043,"(2, 2, 0)","(2, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8facc877c0>
1563.495197954854,"(2, 2, 0)","(0, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905095e7f0>
1563.5155246602199,"(2, 2, 0)","(3, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f22ad0e80>
1564.4059287978696,"(2, 2, 0)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050995cd0>
1564.6850451223804,"(4, 2, 0)","(3, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f28b7ff70>
1564.6863018366373,"(4, 2, 0)","(4, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec4056ee0>
1565.0653803687069,"(2, 1, 4)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050890400>
1565.0653803687069,"(2, 1, 4)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083873bb0>
