AIC,Params,Seasonal_Params,Model,Ljung-Box p-value,Jarque-Bera p-value
1520.2081140202918,"(3, 1, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf55f023a0>,0.9480889885976438,0.013029185132927936
1520.367758584352,"(1, 1, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf42fa71c0>,0.5522456004433084,0.0027129495359042182
1520.3898560413813,"(5, 1, 2)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf33b33d90>,0.5532843670918929,9.322150420765962e-07
1520.5225239303165,"(1, 1, 0)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf95515340>,0.7016490873098284,0.0015221497952326178
1520.693347057739,"(5, 1, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf33e4c250>,0.7823539374089064,0.00027381957488268135
1520.7405051698827,"(0, 1, 0)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf51b99490>,0.7343418252121752,0.00402733528481733
1520.7732506879793,"(3, 1, 1)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf859cdbb0>,0.6818476610678172,1.2197096600648533e-05
1520.8514330710016,"(3, 2, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf4541e520>,0.8571040659749362,0.16056797671135012
1521.3373521833325,"(3, 2, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf56c57520>,0.9390157869603815,0.12313974852821227
1521.6564997016324,"(0, 1, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf61f97d00>,0.9423865535166112,0.003933915872867628
